Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,248481,-,-,-,40.41,-3.7,1,680,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2019,1,1,0,0,156.13,0.16,0.5,0,0,0,0,-1.8,62.28,946,0,0,0,0,4.800000000000001,51,0.7000000000000001
2019,1,1,0,15,158.17000000000002,0.16,0.5,0,0,0,0,-1.8,62.65,945,0,0,0,0,4.7,55,0.7000000000000001
2019,1,1,0,30,159.93,0.16,0.5,0,0,0,0,-1.8,63.09,945,0,0,0,0,4.6000000000000005,59,0.6000000000000001
2019,1,1,0,45,161.32,0.16,0.5,0,0,0,0,-1.8,63.74,945,0,0,0,0,4.5,63,0.6000000000000001
2019,1,1,1,0,162.22,0.16,0.6000000000000001,0,0,0,0,-5.2,50.74,945,0,0,0,0,4.1000000000000005,15,1.4000000000000001
2019,1,1,1,15,162.62,0.16,0.6000000000000001,0,0,0,0,-5.2,51.46,945,0,0,0,0,3.9000000000000004,17,1.4000000000000001
2019,1,1,1,30,162.44,0.16,0.6000000000000001,0,0,0,1,-5.2,52.56,945,0,0,0,0,3.6,18,1.4000000000000001
2019,1,1,1,45,161.72,0.16,0.6000000000000001,0,0,0,0,-5,54.28,945,0,0,0,0,3.4000000000000004,20,1.4000000000000001
2019,1,1,2,0,160.5,0.16,0.6000000000000001,0,0,0,0,-5,55.06,945,0,0,0,0,3.2,21,1.4000000000000001
2019,1,1,2,15,158.88,0.16,0.6000000000000001,0,0,0,0,-5,56.230000000000004,945,0,0,0,0,2.9000000000000004,22,1.4000000000000001
2019,1,1,2,30,156.94,0.16,0.6000000000000001,0,0,0,1,-5,57.04,945,0,0,0,0,2.7,22,1.4000000000000001
2019,1,1,2,45,154.76,0.16,0.6000000000000001,0,0,0,0,-4.6000000000000005,59.39,945,0,0,0,0,2.5,23,1.4000000000000001
2019,1,1,3,0,152.39000000000001,0.16,0.6000000000000001,0,0,0,0,-4.6000000000000005,60.24,945,0,0,0,0,2.3000000000000003,24,1.4000000000000001
2019,1,1,3,15,149.89000000000001,0.16,0.6000000000000001,0,0,0,0,-4.6000000000000005,61.1,945,0,0,0,0,2.1,24,1.4000000000000001
2019,1,1,3,30,147.29,0.16,0.6000000000000001,0,0,0,0,-4.6000000000000005,61.980000000000004,945,0,0,0,0,1.9000000000000001,24,1.4000000000000001
2019,1,1,3,45,144.61,0.16,0.6000000000000001,0,0,0,0,-4.2,65.13,945,0,0,0,0,1.7000000000000002,24,1.4000000000000001
2019,1,1,4,0,141.87,0.16,0.6000000000000001,0,0,0,0,-4.2,66.54,945,0,0,0,0,1.4000000000000001,24,1.4000000000000001
2019,1,1,4,15,139.09,0.16,0.6000000000000001,0,0,0,0,-4.2,67.02,945,0,0,0,0,1.3,25,1.4000000000000001
2019,1,1,4,30,136.27,0.16,0.6000000000000001,0,0,0,1,-4.2,67.99,945,0,0,0,0,1.1,25,1.4000000000000001
2019,1,1,4,45,133.44,0.16,0.6000000000000001,0,0,0,0,-3.6,71.96000000000001,945,0,0,0,0,0.9,25,1.4000000000000001
2019,1,1,5,0,130.59,0.16,0.6000000000000001,0,0,0,1,-3.6,72.4,944,0,0,0,0,0.8,25,1.4000000000000001
2019,1,1,5,15,127.74000000000001,0.16,0.6000000000000001,0,0,0,0,-3.6,72.93,944,0,0,0,0,0.7000000000000001,26,1.4000000000000001
2019,1,1,5,30,124.89,0.16,0.6000000000000001,0,0,0,0,-3.6,73.46000000000001,944,0,0,0,0,0.6000000000000001,26,1.4000000000000001
2019,1,1,5,45,122.04,0.16,0.6000000000000001,0,0,0,0,-3.1,77.23,944,0,0,0,0,0.4,27,1.4000000000000001
2019,1,1,6,0,119.19,0.16,0.6000000000000001,0,0,0,0,-3.1,77.79,944,0,0,0,0,0.30000000000000004,27,1.4000000000000001
2019,1,1,6,15,116.36,0.16,0.6000000000000001,0,0,0,0,-3.1,77.79,944,0,0,0,0,0.30000000000000004,27,1.3
2019,1,1,6,30,113.55,0.16,0.6000000000000001,0,0,0,0,-3.1,78.36,944,0,0,0,0,0.2,28,1.3
2019,1,1,6,45,110.76,0.16,0.6000000000000001,0,0,0,1,-2.7,81.2,945,0,0,0,0,0.1,29,1.3
2019,1,1,7,0,107.99000000000001,0.16,0.6000000000000001,0,0,0,0,-2.7,81.2,945,0,0,0,0,0.1,29,1.3
2019,1,1,7,15,105.25,0.16,0.6000000000000001,0,0,0,0,-2.7,81.79,945,0,0,0,0,0,30,1.3
2019,1,1,7,30,102.55,0.16,0.6000000000000001,0,0,0,1,-2.7,81.79,945,0,0,0,0,0,30,1.3
2019,1,1,7,45,99.88,0.16,0.6000000000000001,0,0,0,0,-2.4000000000000004,84.71000000000001,945,0,0,0,0,-0.1,31,1.3
2019,1,1,8,0,97.25,0.16,0.6000000000000001,0,0,0,1,-2.4000000000000004,84.71000000000001,945,0,0,0,0,-0.1,31,1.3
2019,1,1,8,15,94.67,0.16,0.6000000000000001,0,0,0,1,-2.4000000000000004,81.11,945,0,0,0,0,0.5,32,1.3
2019,1,1,8,30,92.14,0.16,0.6000000000000001,0,0,0,1,-2.4000000000000004,78.24,945,0,0,0,0,1,33,1.2000000000000002
2019,1,1,8,45,89.25,0.16,0.6000000000000001,0,0,0,1,-1,83.68,945,0,0,0,0,1.5,33,1.2000000000000002
2019,1,1,9,0,87.03,0.16,0.6000000000000001,18,368,37,4,-1,80.17,945,7,0,7,7,2.1,34,1.2000000000000002
2019,1,1,9,15,84.77,0.16,0.6000000000000001,25,493,70,3,-1,75.21000000000001,945,24,0,7,24,3,35,1.4000000000000001
2019,1,1,9,30,82.54,0.16,0.6000000000000001,32,586,108,3,-0.9,70.67,946,24,0,7,24,3.9000000000000004,35,1.6
2019,1,1,9,45,80.39,0.16,0.6000000000000001,37,659,147,1,0.2,71.93,946,37,659,0,147,4.800000000000001,36,1.8
2019,1,1,10,0,78.31,0.16,0.6000000000000001,41,715,186,1,0.2,67.58,946,41,715,1,186,5.7,37,2
2019,1,1,10,15,76.33,0.16,0.6000000000000001,44,759,224,0,0.2,64.84,946,44,759,0,224,6.300000000000001,36,1.9000000000000001
2019,1,1,10,30,74.46000000000001,0.16,0.6000000000000001,47,794,260,0,0.2,62.22,946,47,794,0,260,6.9,34,1.8
2019,1,1,10,45,72.69,0.16,0.6000000000000001,50,823,295,0,0,59.21,946,50,823,0,295,7.5,33,1.7000000000000002
2019,1,1,11,0,71.06,0.16,0.6000000000000001,52,847,327,0,0.1,56.85,946,52,847,0,327,8.1,32,1.6
2019,1,1,11,15,69.55,0.16,0.6000000000000001,54,867,356,0,0.1,54.96,946,54,867,0,356,8.6,31,1.5
2019,1,1,11,30,68.19,0.16,0.6000000000000001,55,883,383,0,0.1,53.13,946,55,883,0,383,9.1,31,1.3
2019,1,1,11,45,66.99,0.16,0.6000000000000001,56,897,407,0,0.6000000000000001,53.04,945,56,897,0,407,9.700000000000001,31,1.2000000000000002
2019,1,1,12,0,65.94,0.16,0.6000000000000001,58,907,427,0,0.6000000000000001,51.29,945,58,907,0,427,10.200000000000001,30,1
2019,1,1,12,15,65.07000000000001,0.16,0.6000000000000001,58,916,444,0,0.6000000000000001,49.95,945,58,916,0,444,10.600000000000001,26,1
2019,1,1,12,30,64.37,0.16,0.6000000000000001,59,922,458,0,0.6000000000000001,48.32,945,59,922,0,458,11.100000000000001,22,0.9
2019,1,1,12,45,63.85,0.16,0.6000000000000001,59,929,468,0,0.5,46.550000000000004,945,59,929,0,468,11.600000000000001,19,0.8
2019,1,1,13,0,63.52,0.16,0.6000000000000001,59,932,475,0,0.5,45.34,945,59,932,0,475,12,15,0.7000000000000001
2019,1,1,13,15,63.38,0.16,0.6000000000000001,59,933,477,0,0.5,44.410000000000004,944,59,933,0,477,12.3,98,0.7000000000000001
2019,1,1,13,30,63.440000000000005,0.16,0.6000000000000001,59,933,476,0,0.5,43.550000000000004,944,59,933,0,476,12.600000000000001,182,0.7000000000000001
2019,1,1,13,45,63.68,0.16,0.6000000000000001,60,929,472,0,0.30000000000000004,42.44,944,60,929,0,472,12.8,265,0.7000000000000001
2019,1,1,14,0,64.12,0.16,0.6000000000000001,59,925,463,0,0.30000000000000004,41.62,944,59,925,0,463,13.100000000000001,349,0.7000000000000001
2019,1,1,14,15,64.74,0.16,0.6000000000000001,59,920,451,0,0.30000000000000004,41.35,944,59,920,0,451,13.200000000000001,344,0.6000000000000001
2019,1,1,14,30,65.53,0.16,0.6000000000000001,58,912,436,0,0.30000000000000004,41.35,944,58,912,0,436,13.200000000000001,340,0.6000000000000001
